SEQUENTIAL
16188880001;16188885001;[authentication username=16188880001 password=123456]
16188880002;16188885002;[authentication username=16188880002 password=123456]
16188880003;16188885003;[authentication username=16188880003 password=123456]
16188880004;16188885004;[authentication username=16188880004 password=123456]
16188880005;16188885005;[authentication username=16188880005 password=123456]
16188880006;16188885006;[authentication username=16188880006 password=123456]
16188880007;16188885007;[authentication username=16188880007 password=123456]
16188880008;16188885008;[authentication username=16188880008 password=123456]
16188880009;16188885009;[authentication username=16188880009 password=123456]
16188880010;16188885010;[authentication username=16188880010 password=123456]
16188880011;16188885011;[authentication username=16188880011 password=123456]
16188880012;16188885012;[authentication username=16188880012 password=123456]
16188880013;16188885013;[authentication username=16188880013 password=123456]
16188880014;16188885014;[authentication username=16188880014 password=123456]
16188880015;16188885015;[authentication username=16188880015 password=123456]
16188880016;16188885016;[authentication username=16188880016 password=123456]
16188880017;16188885017;[authentication username=16188880017 password=123456]
16188880018;16188885018;[authentication username=16188880018 password=123456]
16188880019;16188885019;[authentication username=16188880019 password=123456]
16188880020;16188885020;[authentication username=16188880020 password=123456]
